"","playerID","name","IP","ER","ERA","K","ebWAR","efWAR"
"1556","thielca01","Caleb Thielbar",417,141,3.04,320,6.5,6.54
"1557","whitewa02","Wally Whitehurst",590,257,3.92,372,6.5,6.25
"1558","wyseha01","Hank Wyse",1050,465,3.99,431,6.5,10.56
"1559","maltzgo01","Gordon Maltzberger",320,122,3.43,198,6.49,-1.1
"1560","albural01","Al Alburquerque",328,110,3.02,341,6.46,4.31
"1561","caprabu01","Buzz Capra",384,130,3.05,281,6.45,4.91
"1562","sprinje01","Jeffrey Springs",460,171,3.35,352,6.45,5.66
"1563","ackerji01","Jim Acker",817,307,3.38,457,6.45,5.8
"1564","castidi01","Diego Castillo",458,156,3.07,336,6.45,5.5
"1565","butchjo01","John Butcher",824,351,3.83,434,6.44,10.14
"1566","colemlo01","Louis Coleman",416,149,3.22,341,6.44,2.95
"1567","abadfe01","Fernando Abad",491,175,3.21,376,6.41,3.37
"1568","clarkma01","Mark Clark",1404,638,4.09,674,6.41,12.79
"1569","willoji01","Jim Willoughby",524,198,3.4,316,6.41,4.07
"1570","sullisc01","Scott Sullivan",899,356,3.56,627,6.41,1.19
"1571","bielemi01","Mike Bielecki",1369,590,3.88,848,6.4,11.44
"1572","groombu01","Buddy Groom",859,389,4.08,525,6.39,6.85
"1573","penato03","Tony Pena",512,187,3.29,349,6.39,6.23
"1574","meredcl01","Cla Meredith",386,132,3.08,262,6.37,4.88
"1575","pattejo02","John Patterson",544,211,3.49,434,6.37,7
"1576","sturdto01","Tom Sturdivant",1089,489,4.04,677,6.37,6.01
"1577","hortori01","Ricky Horton",656,263,3.61,334,6.36,4.11
"1578","raymocl01","Claude Raymond",500,200,3.6,348,6.36,3.15
"1579","jonessh01","Sheldon Jones",699,286,3.68,428,6.35,2.38
"1580","redditi01","Tim Redding",816,341,3.76,482,6.34,7.41
"1581","castibo01","Bobby Castillo",626,248,3.57,476,6.32,5.16
"1582","germado01","Domingo Germán",576,233,3.64,403,6.32,7.15
"1583","houttar01","Art Houtteman",1367,615,4.05,697,6.32,15.63
"1584","ohse01","Seunghwan Oh",337,110,2.94,293,6.32,5.3
"1585","bummeaa01","Aaron Bummer",361,117,2.92,287,6.32,5.15
"1586","boyerbl01","Blaine Boyer",679,259,3.43,416,6.31,6.33
"1587","lancale01","Les Lancaster",694,292,3.79,379,6.31,5.59
"1588","pressto01","Tot Pressnell",492,189,3.46,217,6.31,3.36
"1589","newcose01","Sean Newcomb",613,247,3.63,425,6.3,5.75
"1590","breinfr01","Fred Breining",468,165,3.17,319,6.29,4.23
"1591","devench02","Chris Devenski",444,153,3.1,345,6.27,5.96
"1592","wrighst01","Steven Wright",483,173,3.22,326,6.27,4.89
"1593","lecursa01","Sam LeCure",455,158,3.13,372,6.25,5.33
"1594","bettshu01","Huck Betts",629,260,3.72,258,6.24,-1.09
"1595","gormato02","Tom Gorman",560,231,3.71,292,6.24,0.99
"1596","raych01","Chris Ray",390,138,3.18,292,6.23,4.17
"1597","gallegi01","Giovanny Gallegos",430,146,3.06,370,6.22,7.53
"1598","mcbrike01","Ken McBride",727,331,4.1,396,6.22,4.58
"1599","seaneru01","Rudy Seanez",749,295,3.54,682,6.21,6.36
